text,emotion
I'm crying,sadness
This is so much fun,joy
I'm so grateful for you,love
This is so much fun,joy
What if something goes wrong,fear
This is infuriating,anger
I can't believe it,surprise
That's unexpected,surprise
This makes me smile,joy
That's shocking,surprise
Everything is awesome,joy
My love for you is endless,love
Seriously?,surprise
I love you,love
This terrifies me,fear
This hurts,sadness
I'm furious,anger
Why does it hurt so much,sadness
I'm feeling great,joy
You have my heart,love
What a surprise!,surprise
You're the worst,anger
You make me whole,love
You ruined everything,anger
I'm furious,anger
This is infuriating,anger
You ruined everything,anger
Why does it hurt so much,sadness
I love this!,joy
You're the worst,anger
I'm pissed off,anger
I love this!,joy
I'm crying,sadness
Life is good,joy
I'm afraid,fear
This terrifies me,fear
This makes me anxious,fear
I'm feeling great,joy
I'm feeling great,joy
I can't breathe,fear
I'm enjoying this,joy
Didn't expect that,surprise
I'm lost,sadness
Seriously?,surprise
I'm lost,sadness
What a surprise!,surprise
I can't believe it,surprise
I'm so happy,joy
I'm so grateful for you,love
This hurts,sadness
You're amazing,love
I hate this,anger
I'm pissed off,anger
Wow!,surprise
I'm crying,sadness
This is infuriating,anger
I'm heartbroken,sadness
I'm worried,fear
I'm so happy,joy
I'm afraid,fear
That came out of nowhere,surprise
This hurts,sadness
I'm heartbroken,sadness
I'm shaking,fear
Feeling down today,sadness
Wow!,surprise
I'm enjoying this,joy
I hate this,anger
Are you kidding me?,surprise
That came out of nowhere,surprise
I cherish you,love
You mean so much to me,love
This is unacceptable,anger
I love you,love
I love this!,joy
That came out of nowhere,surprise
Wow!,surprise
I'm heartbroken,sadness
That's unexpected,surprise
I'm so happy,joy
Why does it hurt so much,sadness
I can't take it anymore,anger
I'm afraid,fear
I'm in love,love
My love for you is endless,love
I'm feeling great,joy
I can't believe it,surprise
You mean so much to me,love
I can't breathe,fear
I'm nervous,fear
I can't breathe,fear
You're the one,love
This terrifies me,fear
I'm worried,fear
I cherish you,love
This terrifies me,fear
That came out of nowhere,surprise
Such a nice surprise,joy
I miss you,sadness
I'm in love,love
You make me whole,love
I'm worried,fear
I'm shaking,fear
I'm scared,fear
That's unexpected,surprise
I'm enjoying this,joy
I'm pissed off,anger
This is so much fun,joy
This is unacceptable,anger
Everything feels heavy,sadness
I'm furious,anger
You mean so much to me,love
You make me whole,love
Why does it hurt so much,sadness
This hurts,sadness
You mean so much to me,love
This terrifies me,fear
I'm furious,anger
I'm furious,anger
This hurts,sadness
